raw_name,clean_name
DIRECTV STREAM (AT&T TV) (NBA Playoffs)- US - All Devices including Connected TV CTV/OTT - Video,Directv Stream (At&T Tv) (Nba Playoffs)- Us - All Devices Including Connected Tv Ctv/Ott - Video
DIRECTV STREAM (AT&T TV) (NFL & NCAA CFB) Political - US - All Devices including Connected TV CTV/OTT - Video,Directv Stream (At&T Tv) (Nfl & Ncaa Cfb) Political - Us - All Devices Including Connected Tv Ctv/Ott - Video
DIRECTV STREAM (AT&T TV) (Soccer)- US - All Devices including Connected TV CTV/OTT - Video,Directv Stream (At&T Tv) (Soccer)- Us - All Devices Including Connected Tv Ctv/Ott - Video
FOX Sports  - US - RON - FIRST LOOK (Ahead of Direct!) ON SALE - Live Sports – ConnectedTV (CTV/OTT) – Video,Fox Sports  - Us - Ron - First Look (Ahead Of Direct!) On Sale - Live Sports – Connectedtv (Ctv/Ott) – Video
FanDuel Sports Network (NBA Basketball) - US - Live NBA Games - All Devices including Connected TV CTV/OTT - Video,Fanduel Sports Network (Nba Basketball) - Us - Live Nba Games - All Devices Including Connected Tv Ctv/Ott - Video
FanDuel Sports Network (NBA Basketball) - US - Live NBA Games - All Devices including Connected TV CTV/OTT - Video - Nexxen,Fanduel Sports Network (Nba Basketball) - Us - Live Nba Games - All Devices Including Connected Tv Ctv/Ott - Video - Nexxen
"FloSports - Magnite CTV - Live Sports (includes Running, Wrestling, Cycling and Basketball) - US and CA - RON - ConnectedTV CTV/OTT - Video - (Alcohol + CBD Brands Accepted)","Flosports - Magnite Ctv - Live Sports (Includes Running, Wrestling, Cycling And Basketball) - Us And Ca - Ron - Connectedtv Ctv/Ott - Video - (Alcohol + Cbd Brands Accepted)"
Fox Sports - US - RON - Live College Basketball - ConnectedTV (CTV/OTT) – Video,Fox Sports - Us - Ron - Live College Basketball - Connectedtv (Ctv/Ott) – Video
Fubo (NBA Basketball) - US - Live NBA Games - All Devices including Connected TV CTV/OTT - Video,Fubo (Nba Basketball) - Us - Live Nba Games - All Devices Including Connected Tv Ctv/Ott - Video
Fubo (NBA Basketball) - US - Live NBA Games - All Devices including Connected TV CTV/OTT - Video - 5.12.23,Fubo (Nba Basketball) - Us - Live Nba Games - All Devices Including Connected Tv Ctv/Ott - Video - 5.12.23
Fubo - NFL Football - US - (Live Sports NFL Football Games) Political - ConnectedTV CTV/OTT - Video,Fubo - Nfl Football - Us - (Live Sports Nfl Football Games) Political - Connectedtv Ctv/Ott - Video
Fubo- US - NBA - OpenPath,Fubo- Us - Nba - Openpath
NBC ROV Sports - Live In-Game - US - RON - OTT | All Devices including CTV – Video | :15s only,Nbc Rov Sports - Live In-Game - Us - Ron - Ott | All Devices Including Ctv – Video | :15S Only
Scripps - US - Live National Women's Soccer League (NWSL) - ConnectedTV/CTV - Video,Scripps - Us - Live National Women'S Soccer League (Nwsl) - Connectedtv/Ctv - Video
Warner Bros Discovery - US - NBA (Live) - All devices including CTV (CTV/OTT) – Video,Warner Bros Discovery - Us - Nba (Live) - All Devices Including Ctv (Ctv/Ott) – Video
